year,age,age_usage
2010,2,0.0102636187831572
2010,5,0.0303685615158048
2010,15,0.0160732677841458
2015,2,0.243720963960193
2015,5,0.294732553211072
2015,15,0.291852115824559
2018,2,0.552650762927025
2018,5,0.434090325510664
2018,15,0.471600057295874
2021,2,0.35702897471289
2021,5,0.373536308739462
2021,15,0.378322123102036
